lastname,firstname,email,badge
Abbot,Jean,Abbotjean@example.com,Induction
Doyle,Paul,Doylepaul@example.com,Workplace Hazards
Murphy,John,MurphyJohn@example.com,Risk Awareness
O'Sullivan,Sean,OSullivansean@example.com,Responsibility
O'Reilly,Tom,OReillytom@example.com,Communication
Macken,Peter,Mackenpeter@example.com,Case Studies
Hogen,Fran,Hogenfran@example.com,Major Assignment
Hegarty,Jane,Hegartyjane@example.com,Completion
Hearney,Paula,Hearneypaula@example.com,Completion with Distinction
Swift,Ian,Swiftian@example.com,Work Experience
Walsh,James,Walshjames@example.com,Online Course Completion
Whelan,Bob,Whelanbob@example.com,Transition Unit Completion
